id,cover,genres,name,platforms,summary,url,first_release_date,involved_companies
96461,"{'id': 98395, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co23x7.jpg'}","[{'id': 15, 'name': 'Strategy'}]",Clash of Magic,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","On the United Island of Magic, there is an Academy of Witchcraft and Wizardry. Students with magic powers, regardless of their ethnicity and background, can apply to this university. The acceptance rate is lower than Harvard. Once in, they will have the access to learn from the masters of Magic and train with other equally outstanding and magical peers. 
The life on the island was fun and rewarding, until one day, a new principal took power and want to purify the magic world and to prevent exterratial blood using the power of magic.  
Students now feel the urgency of gaining more skills and training harder to win the principal eventually at the annual Clash of Magic tournament and the winner will replace the current principal and lead the Magic world to a more thriving and peaceful land.",https://www.igdb.com/games/clash-of-magic,1524614400.0,"[{'id': 82078, 'company': {'id': 21262, 'name': 'Narvalous Inc'}}]"
260069,"{'id': 321464, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co6w1k.jpg'}","[{'id': 33, 'name': 'Arcade'}]","Cala a Boca, Galvão!","[{'id': 82, 'name': 'Web browser'}]","Cala a Boca, Galvão! is a whac-a-mole game based on the internet phenomena of the same name, where you ""shut up"" the Brazilian sports narrator Galvão Bueno by adding tape in his mouth.",https://www.igdb.com/games/cala-a-boca-galvao,1293753600.0,
372689,"{'id': 497273, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/coanp5.jpg'}","[{'id': 12, 'name': 'Role-playing (RPG)'}, {'id': 13, 'name': 'Simulator'}, {'id': 31, 'name': 'Adventure'}, {'id': 32, 'name': 'Indie'}]",Witch Play House,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","Witch Play House is an unconventional fantasy collection-adventure game that seamlessly blends exhilarating monster-slaying action with a deep collection system. The game features a unique ""aesthetic of feet"" theme, creating a mysterious world brimming with whimsical imagination.",https://www.igdb.com/games/witch-play-house,,
43117,"{'id': 218131, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co4ob7.jpg'}","[{'id': 31, 'name': 'Adventure'}, {'id': 32, 'name': 'Indie'}]",The Awkward Steve Duology,"[{'id': 3, 'name': 'Linux'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 14, 'name': 'Mac'}]",An FMV objet d'art about opening doors.,https://www.igdb.com/games/the-awkward-steve-duology,1500249600.0,"[{'id': 67145, 'company': {'id': 10701, 'name': 'Oh, a Rock! Studios'}}]"
208210,"{'id': 258652, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co5jks.jpg'}","[{'id': 5, 'name': 'Shooter'}]",Loplight,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 130, 'name': 'Nintendo Switch'}]","Loplight is a twin-stick shooter taking inspirations from Hermetic lore and old alchemical concepts. Explore the ruins of this world, find out who's responsible, and defeat the monstrous creatures blocking your path.",https://www.igdb.com/games/loplight,1658102400.0,"[{'id': 244310, 'company': {'id': 25474, 'name': 'Scumhead'}}]"
263476,"{'id': 326235, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co6zq3.jpg'}","[{'id': 9, 'name': 'Puzzle'}]",Crypt Raider,"[{'id': 82, 'name': 'Web browser'}]",Move the mystical blue balls into the portal to escape the level!,https://www.igdb.com/games/crypt-raider,1072828800.0,"[{'id': 228852, 'company': {'id': 7452, 'name': 'Miniclip.com'}}, {'id': 299704, 'company': {'id': 60398, 'name': 'UseLab'}}]"
196708,"{'id': 216297, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co4mw9.jpg'}","[{'id': 5, 'name': 'Shooter'}]",The Ultimate Doom: Knee-Deep in Zdoom,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","Knee-Deep in ZDoom (also known by the abbreviation KDiZD) is a ten-level PK3 for The Ultimate Doom, designed for use with the ZDoom source port. The project was led by Daniel Gimmer (Tormentor667). It was first released on June 2, 2007, and at the 2007 ceremony it picked up a regular Cacoward as well as the Mordeth award. The final version of the mod was uploaded on June 16, 2012.

The PWAD is a reinterpretation of the original id Software's Knee-Deep in the Dead. A core concept of the mod was to expand the original levels by making full use of the power of Marisa Heit (Randi)'s ZDoom port, which adds features that are not possible under the original Doom engine. The levels have an atmosphere and design similar to Quake 2, with large tech bases and similar ambient sounds.",https://www.igdb.com/games/the-ultimate-doom-knee-deep-in-zdoom,1180742400.0,"[{'id': 168374, 'company': {'id': 29072, 'name': 'Tormentor667'}}]"
308343,"{'id': 396823, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co8i6v.jpg'}","[{'id': 9, 'name': 'Puzzle'}]",Numbskull,"[{'id': 82, 'name': 'Web browser'}]",Rotate selected ground to roll the skull head back to the rest of his body.,https://www.igdb.com/games/numbskull,1225065600.0,"[{'id': 276229, 'company': {'id': 15443, 'name': 'Nitrome'}}]"
320263,,"[{'id': 2, 'name': 'Point-and-click'}, {'id': 31, 'name': 'Adventure'}]",Obama in the Dark,,Help president Obama solve the mystery of a creepy haunted house!,https://www.igdb.com/games/obama-in-the-dark,,"[{'id': 291993, 'company': {'id': 59069, 'name': 'Inka Games'}}]"
256485,"{'id': 314530, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co6qoy.jpg'}","[{'id': 5, 'name': 'Shooter'}]",Team Fortress 2: Manniversary Update,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","The Manniversary Update & Sale was a major update that included several new cosmetics, added a second miscellaneous slot (before hats and miscs. were Cosmetics), a new high-five taunt, and four loadout presets. All items bought via the Mann Co. Store before the update were made tradable, and all items bought after become tradable within two days of purchase. Players that logged on during the week of the update received a Manniversary Package.",https://www.igdb.com/games/team-fortress-2-manniversary-update,1318464000.0,"[{'id': 222590, 'company': {'id': 56, 'name': 'Valve'}}]"
185679,"{'id': 200120, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co4aew.jpg'}","[{'id': 8, 'name': 'Platform'}, {'id': 32, 'name': 'Indie'}]",Cat Box Paradox,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","A fast paced retro platform game, you must think fast as you run, jump and swap colour, making your way through 8 floors of challenging and amusing colour changing mayhem.",https://www.igdb.com/games/cat-box-paradox,1639094400.0,"[{'id': 174568, 'company': {'id': 41669, 'name': 'BiscuitLocker'}}]"
289098,"{'id': 377040, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co82xc.jpg'}","[{'id': 32, 'name': 'Indie'}, {'id': 33, 'name': 'Arcade'}]",Moai no Su,"[{'id': 82, 'name': 'Web browser'}]",,https://www.igdb.com/games/moai-no-su,1134691200.0,"[{'id': 256377, 'company': {'id': 53285, 'name': 'SKT'}}]"
271416,"{'id': 336852, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co77x0.jpg'}","[{'id': 5, 'name': 'Shooter'}]",Star Wars: Movie Battles II,"[{'id': 3, 'name': 'Linux'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 14, 'name': 'Mac'}]","Movie Battles II is a fast-paced, action packed mod for the award winning Jedi Knight Jedi Academy game, that lets players play and fight in the most iconic battles seen throughout the entire saga!
Choose from a range of 12 distinct classes, each with their own strengths, weapons, and abilities. Play on over 40 maps from across the Star Wars universe, inspired by scenarios in the movies and legends.",https://www.igdb.com/games/star-wars-movie-battles-ii,1047686400.0,
39386,"{'id': 452690, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co9paq.jpg'}","[{'id': 4, 'name': 'Fighting'}]",Martial Masters,"[{'id': 52, 'name': 'Arcade'}]","At the end of the Qin's Dynasty, the government weakened by corruption was attacked by foreign influences. The people were flung into misery and became quite unsatisfied with the situation. They did not believe in the government anymore and turned their faith back to religion.

The White Lotus sect saw this as an opportunity and took over. They claimed to help the government to defeat foreigners and bring peace to the world. Their Ideology was quickly adopted. Everything related with the Western world was killed or destroyed. Anyone against this principal was considered an enemy and accused of being bound with the devil. Dragon of Martial Master and Master Huang of Po Chi Lam could not accept these outrageous actions so they band together in order to prevent much bloodshed.
One day the leader of White Lotus Sect sent an invitation to Dragon and Master Huang but Dragon's disciples saw this as a trap and recommended that they wait for Master Huang, who was out of town collecting medicine. The Master did not want to miss this opportunity to make peace and went alone. Unfortunately, he was captured and put in prison. Both parties started confrontations and have struggled since then.

Now dangers are hidden all over the place. Who is capable of resolving the situation? Let's find out!",https://www.igdb.com/games/martial-masters,956188800.0,"[{'id': 316537, 'company': {'id': 2515, 'name': 'International Games System'}}, {'id': 316538, 'company': {'id': 36832, 'name': 'Andamiro'}}]"
